2025-04-20 22:48:21 - INFO - ==== 回测日志系统初始化完成 ====
2025-04-20 22:48:49 - INFO - 已处理 152000/525600 条K线数据
2025-04-20 22:48:49 - INFO - 已处理 153000/525600 条K线数据
2025-04-20 22:48:49 - INFO - 已处理 154000/525600 条K线数据
2025-04-20 22:48:49 - INFO - 已处理 155000/525600 条K线数据
2025-04-20 22:48:49 - INFO - 已处理 156000/525600 条K线数据
2025-04-20 22:48:49 - INFO - 已处理 157000/525600 条K线数据
2025-04-20 22:48:49 - INFO - 已处理 158000/525600 条K线数据
2025-04-20 22:48:50 - INFO - 已处理 159000/525600 条K线数据
2025-04-20 22:48:50 - INFO - 已处理 160000/525600 条K线数据
2025-04-20 22:48:50 - INFO - 已处理 161000/525600 条K线数据
2025-04-20 22:48:50 - INFO - 已处理 162000/525600 条K线数据
2025-04-20 22:48:50 - INFO - 已处理 163000/525600 条K线数据
2025-04-20 22:48:50 - INFO - 已处理 164000/525600 条K线数据
2025-04-20 22:48:50 - INFO - 已处理 165000/525600 条K线数据
2025-04-20 22:48:51 - INFO - 已处理 166000/525600 条K线数据
2025-04-20 22:48:51 - INFO - 已处理 167000/525600 条K线数据
2025-04-20 22:48:51 - INFO - 已处理 168000/525600 条K线数据
2025-04-20 22:48:51 - INFO - 已处理 169000/525600 条K线数据
2025-04-20 22:48:51 - INFO - 已处理 170000/525600 条K线数据
2025-04-20 22:48:51 - INFO - 已处理 171000/525600 条K线数据
2025-04-20 22:48:51 - INFO - 已处理 172000/525600 条K线数据
2025-04-20 22:48:51 - INFO - 已处理 173000/525600 条K线数据
2025-04-20 22:48:52 - INFO - 已处理 174000/525600 条K线数据
2025-04-20 22:48:52 - INFO - 已处理 175000/525600 条K线数据
2025-04-20 22:48:52 - INFO - 已处理 176000/525600 条K线数据
2025-04-20 22:48:52 - INFO - 已处理 177000/525600 条K线数据
2025-04-20 22:48:52 - INFO - 已处理 178000/525600 条K线数据
2025-04-20 22:48:52 - INFO - 已处理 179000/525600 条K线数据
2025-04-20 22:48:52 - INFO - 已处理 180000/525600 条K线数据
2025-04-20 22:48:52 - INFO - 已处理 181000/525600 条K线数据
2025-04-20 22:48:53 - INFO - 已处理 182000/525600 条K线数据
2025-04-20 22:48:53 - INFO - 已处理 183000/525600 条K线数据
2025-04-20 22:48:53 - INFO - 已处理 184000/525600 条K线数据
2025-04-20 22:48:53 - INFO - 已处理 185000/525600 条K线数据
2025-04-20 22:48:53 - INFO - 已处理 186000/525600 条K线数据
2025-04-20 22:48:53 - INFO - 已处理 187000/525600 条K线数据
2025-04-20 22:48:53 - INFO - 已处理 188000/525600 条K线数据
2025-04-20 22:48:54 - INFO - 已处理 189000/525600 条K线数据
2025-04-20 22:48:54 - INFO - 已处理 190000/525600 条K线数据
2025-04-20 22:48:54 - INFO - 已处理 191000/525600 条K线数据
2025-04-20 22:48:54 - INFO - 已处理 192000/525600 条K线数据
2025-04-20 22:48:54 - INFO - 已处理 193000/525600 条K线数据
2025-04-20 22:48:54 - INFO - 已处理 194000/525600 条K线数据
2025-04-20 22:48:54 - INFO - 已处理 195000/525600 条K线数据
2025-04-20 22:48:54 - INFO - 已处理 196000/525600 条K线数据
2025-04-20 22:48:55 - INFO - 已处理 197000/525600 条K线数据
2025-04-20 22:48:55 - INFO - 已处理 198000/525600 条K线数据
2025-04-20 22:48:55 - INFO - 已处理 199000/525600 条K线数据
2025-04-20 22:48:55 - INFO - 已处理 200000/525600 条K线数据
2025-04-20 22:48:55 - INFO - 已处理 201000/525600 条K线数据
2025-04-20 22:48:55 - INFO - 已处理 202000/525600 条K线数据
2025-04-20 22:48:55 - INFO - 已处理 203000/525600 条K线数据
2025-04-20 22:48:55 - INFO - 已处理 204000/525600 条K线数据
2025-04-20 22:48:56 - INFO - 已处理 205000/525600 条K线数据
2025-04-20 22:48:56 - INFO - 已处理 206000/525600 条K线数据
2025-04-20 22:48:56 - INFO - 已处理 207000/525600 条K线数据
2025-04-20 22:48:56 - INFO - 已处理 208000/525600 条K线数据
